game_id,Clusters,season
28500005,2,0
28500006,2,0
28500010,2,0
28500011,2,0
28500008,2,0
28500004,2,0
28500007,2,0
28500009,2,0
28500016,2,0
28500012,2,0
28500014,2,0
28500017,0,0
28500018,2,0
28500013,2,0
28500015,2,0
28500020,2,0
28500019,2,0
28500021,2,0
28500023,2,0
28500025,2,0
28500022,2,0
28500029,2,0
28500026,2,0
28500024,2,0
28500030,2,0
28500027,2,0
28500028,2,0
28500197,0,0
28500031,2,0
28500034,2,0
28500032,2,0
28500033,2,0
28500035,0,0
28500037,2,0
28500040,2,0
28500038,2,0
28500036,2,0
28500039,2,0
28500041,2,0
28500042,2,0
28500045,2,0
28500043,2,0
28500044,2,0
28500054,2,0
28500046,2,0
28500048,2,0
28500050,2,0
28500053,2,0
28500047,2,0
28500049,2,0
28500051,0,0
28500052,2,0
28500055,2,0
28500056,2,0
28500057,0,0
28500059,2,0
28500062,2,0
28500940,2,0
28500060,2,0
28500063,0,0
28500058,2,0
28500061,2,0
28500068,2,0
28500065,0,0
28500066,2,0
28500067,2,0
28500069,2,0
28500064,2,0
28500072,0,0
28500075,2,0
28500074,2,0
28500070,0,0
28500071,2,0
28500073,2,0
28500080,2,0
28500077,2,0
28500078,2,0
28500076,2,0
28500079,2,0
28500081,0,0
28500088,2,0
28500087,0,0
28500085,2,0
28500082,2,0
28500084,2,0
28500086,0,0
28500083,2,0
28500089,2,0
28500092,2,0
28500090,2,0
28500091,2,0
28500094,2,0
28500095,2,0
28500101,2,0
28500093,2,0
28500096,2,0
28500100,2,0
28500099,2,0
28500098,2,0
28500097,2,0
28500103,2,0
28500104,2,0
28500102,0,0
28500106,2,0
28500105,2,0
28500107,2,0
28500111,2,0
28500108,2,0
28500112,2,0
28500110,2,0
28500109,2,0
28500002,2,0
28500115,2,0
28500114,2,0
28500113,2,0
28500117,2,0
28500118,2,0
28500116,2,0
28500119,2,0
28500122,2,0
28500124,2,0
28500120,2,0
28500123,2,0
28500126,2,0
28500121,2,0
28500125,2,0
28500127,2,0
28500129,2,0
28500128,2,0
28500131,2,0
28500130,2,0
28500134,2,0
28500136,2,0
28500135,2,0
28500133,2,0
28500132,2,0
28500144,2,0
28500143,2,0
28500138,2,0
28500141,2,0
28500139,2,0
28500140,2,0
28500137,2,0
28500142,2,0
28500145,2,0
28500146,2,0
28500148,2,0
28500147,2,0
28500152,2,0
28500150,2,0
28500149,2,0
28500151,2,0
28500153,2,0
28500155,2,0
28500154,2,0
28500159,2,0
28500158,2,0
28500160,2,0
28500157,2,0
28500162,2,0
28500161,2,0
28500328,2,0
28500156,2,0
28500003,2,0
28500167,2,0
28500163,2,0
28500166,2,0
28500164,2,0
28500165,2,0
28500168,2,0
28500169,2,0
28500173,2,0
28500175,0,0
28500176,2,0
28500174,2,0
28500172,0,0
28500177,2,0
28500171,2,0
28500170,2,0
28500181,2,0
28500183,2,0
28500184,2,0
28500185,2,0
28500178,0,0
28500182,2,0
28500180,2,0
28500186,2,0
28500179,2,0
28500190,2,0
28500194,2,0
28500196,2,0
28500193,2,0
28500191,2,0
28500192,2,0
28500188,2,0
28500189,2,0
28500198,2,0
28500195,2,0
28500207,2,0
28500199,2,0
28500206,2,0
28500202,2,0
28500201,2,0
28500200,0,0
28500208,2,0
28500205,2,0
28500203,0,0
28500209,2,0
28500210,2,0
28500211,2,0
28500216,2,0
28500212,2,0
28500220,2,0
28500219,2,0
28500213,2,0
28500218,2,0
28500215,2,0
28500217,2,0
28500214,2,0
28500225,2,0
28500221,2,0
28500223,2,0
28500224,2,0
28500227,0,0
28500226,2,0
28500222,0,0
28500232,2,0
28500230,2,0
