game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
41400123,102,19,25,17,24,7,106,89,33,24,12,25,18,113,29
21400934,89,14,25,13,21,3,101,79,17,23,4,32,10,108,29
29200632,98,17,23,22,26,8,107,94,4,33,10,22,10,116,7
20100855,77,18,22,11,19,10,91,83,9,22,13,15,12,93,16
29000025,88,6,50,17,25,6,109,76,5,38,12,22,28,107,5
29001070,69,6,30,8,20,2,102,93,8,33,25,17,4,100,5
28700075,99,4,28,18,21,3,109,88,2,39,13,23,10,113,2
29800427,78,12,25,9,22,2,95,80,15,33,17,19,18,87,13
28700680,88,5,36,16,28,6,122,88,7,21,9,26,14,112,2
20201122,78,17,30,12,24,5,107,89,18,18,14,20,14,85,17
29500724,71,14,35,8,28,4,113,74,7,26,14,21,18,83,10
21600940,84,9,28,12,26,5,110,86,32,25,11,24,5,109,31
29400572,94,20,32,19,28,5,118,85,22,27,7,28,7,109,9
22200617,86,31,30,12,20,4,113,69,38,36,3,15,12,101,37
21500182,88,22,17,7,26,3,104,84,17,16,5,22,8,90,30
29000671,106,9,20,13,23,3,108,93,7,34,13,25,18,126,5
49600060,72,19,34,12,17,3,96,70,14,25,6,19,21,81,11
21400466,79,29,26,7,23,5,109,84,31,21,11,23,20,101,29
20701105,74,29,15,2,20,3,97,86,18,27,21,18,13,98,22
41500134,94,33,19,12,25,7,104,99,42,13,12,18,15,95,30
28700059,101,0,34,13,37,4,130,86,1,32,9,25,27,109,2
29000393,93,2,40,10,42,3,135,119,12,17,24,21,11,108,5
29500706,92,13,25,14,33,8,113,83,23,16,9,26,25,95,10
21000935,97,12,31,17,32,3,125,98,19,18,12,19,20,117,25
29800578,74,10,17,13,27,5,88,72,17,17,13,19,15,81,13
21001117,75,24,31,11,22,5,100,85,21,26,6,30,11,106,25
20101035,83,7,24,16,22,7,92,70,14,27,11,13,18,80,16
20600145,86,16,25,19,16,4,90,63,24,35,7,15,19,97,21
49800050,66,15,50,13,21,1,97,72,9,36,13,17,16,87,13
20400777,75,15,33,9,27,11,113,80,9,28,14,16,16,95,19
21400406,83,14,29,15,11,4,92,78,17,25,12,13,17,104,29
20200287,76,13,23,8,24,6,100,86,21,18,24,13,15,71,17
29800683,75,22,18,12,17,6,79,77,11,25,15,14,16,88,13
28500546,80,5,30,12,26,0,100,84,7,19,12,27,17,97,0
21400139,86,12,24,8,19,6,94,80,24,18,7,24,14,91,29
21800245,88,36,22,13,21,3,104,94,41,9,13,30,18,98,33
21800200,76,25,16,7,27,2,99,71,37,26,6,23,15,109,33
20300467,87,17,22,16,35,5,112,78,17,30,8,26,10,103,18
20600832,90,14,25,21,20,9,95,75,13,24,13,21,15,93,21
22000557,84,43,20,15,28,3,93,73,30,25,5,27,11,103,35
40900233,77,22,31,13,23,4,110,87,29,19,14,18,8,111,24
