,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,56.594811820983885,3.109707258237449,2.6592289447784423,0.449175944958683,95,{'model__n_estimators': 95},0.8592316513761468,0.8583512544802867,0.8639426523297491,0.8691039426523297,0.8670967741935484,0.8635452550064121,0.004225045307650524,8,0.8752881512217612,0.8759833410458121,0.8762013729977117,0.8877741483901074,0.8857808857808858,0.8802055798872557,0.005411272370128826,11
1,53.21088848114014,2.941731731121879,1.8390722751617432,0.3067328875515162,98,{'model__n_estimators': 98},0.8592316513761468,0.8582078853046595,0.8642293906810036,0.8689605734767025,0.8669534050179212,0.8635165811712866,0.004207131633904205,9,0.8761552680221811,0.8754333256297666,0.8769477543538039,0.8879290217137521,0.8857542550711122,0.8804439249581233,0.005290523077883348,8
2,53.693667316436766,2.434087447084007,1.9975757598876953,0.26174058706277203,102,{'model__n_estimators': 102},0.8586582568807339,0.8596415770609319,0.8640860215053764,0.8688172043010752,0.865663082437276,0.8633732284370786,0.003782712182507354,10,0.8756931608133087,0.8769373120518159,0.8751996349532284,0.8884471468662302,0.8853339560952825,0.8803222421559731,0.005481944976025771,9
3,56.17806892395019,1.1572834108376269,1.9572671413421632,0.29465884095986405,105,{'model__n_estimators': 105},0.8592316513761468,0.8602150537634409,0.8625089605734767,0.8683870967741936,0.8659498207885304,0.8632585166551576,0.0034521180931082096,11,0.8772011121408712,0.8780996523754345,0.8742009132420091,0.8872812135355893,0.8855674918262494,0.8804700766240308,0.005059301872645633,7
4,56.343177270889285,2.2806410483840187,1.895782470703125,0.06664897315556095,109,{'model__n_estimators': 109},0.8603784403669725,0.8596415770609319,0.8637992831541219,0.8679569892473118,0.8673835125448028,0.8638319604748282,0.0034385045173059665,7,0.87847866419295,0.8778112682587527,0.875485492346356,0.8872022419430173,0.8865546218487395,0.8811064577179633,0.004820786280375787,2
5,57.855329275131226,3.145772329010718,2.039193344116211,0.37166556833965825,112,{'model__n_estimators': 112},0.8596616972477065,0.8597849462365591,0.8640860215053764,0.8689605734767025,0.8666666666666667,0.8638319810266022,0.0036924841814260975,6,0.8774611999073431,0.8771402128644146,0.8762296957218028,0.8873863371415248,0.8857009563797528,0.8807836804029676,0.004750309208118199,5
6,45.80084357261658,5.948343903956837,1.2767691612243652,0.6117254712593049,116,{'model__n_estimators': 116},0.8589449541284404,0.8594982078853046,0.8639426523297491,0.8689605734767025,0.8678136200716846,0.8638320015783763,0.004119047940565109,5,0.8766203703703703,0.8769088385006941,0.8760292772186642,0.8873863371415248,0.8869950968947,0.8807879840251907,0.005236956713000655,4
7,43.764950370788576,1.9132563387346744,1.0777637004852294,0.37449477746058757,119,{'model__n_estimators': 119},0.8586582568807339,0.8597849462365591,0.8635125448028674,0.8701075268817204,0.8685304659498208,0.8641187481503403,0.004567165665213206,3,0.8756931608133087,0.8774895785085688,0.8749144031043141,0.8881379631787462,0.8876693134049509,0.8807808838019777,0.005877249201303297,6
8,44.22432332038879,1.0126638794156408,0.5046247005462646,0.4038949880668011,123,{'model__n_estimators': 123},0.8583715596330275,0.8605017921146954,0.8648028673835125,0.8702508960573476,0.8685304659498208,0.8644915162276808,0.004537670716144209,2,0.8768552875695733,0.8776312745778395,0.875,0.8878026070763501,0.8874883286647992,0.8809554995777124,0.005529754471232659,3
9,40.78663268089294,0.6820827825929732,0.6390853881835937,0.2992114808588469,126,{'model__n_estimators': 126},0.8580848623853211,0.8613620071684588,0.865663082437276,0.869820788530466,0.8681003584229391,0.8646062197888922,0.004325984478099218,1,0.8757519666820917,0.8788510539726662,0.8768844221105527,0.8879049172687019,0.8870478413068845,0.8812880402681793,0.005156301680056927,1
10,41.56330108642578,1.04529750615829,0.37361850738525393,0.238091984156175,130,{'model__n_estimators': 130},0.8582282110091743,0.8599283154121864,0.8639426523297491,0.8699641577060931,0.8670967741935484,0.8638320221301502,0.004356961257980596,4,0.8756069364161849,0.8769942196531791,0.8744874715261959,0.8875698324022346,0.8866822429906542,0.8802681405976898,0.005662454068735567,10
