mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
64.42015948295594,4.023213871171234,1.719363021850586,0.5663190731244501,0.77,SAMME.R,0.9,40,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 40}",0.8438933486238532,0.8443010752688173,0.8517562724014337,0.8516129032258064,0.8593548387096774,0.8501836876459177,0.00570612276792397,113,0.8575970928912106,0.855595667870036,0.8596451830226813,0.8695752539242844,0.8708428246013667,0.8626512044619158,0.006315154894822657,199
64.98015117645264,2.688759180427688,1.4799277305603027,0.11346654386265874,0.77,SAMME.R,0.9,46,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 46}",0.8494839449541285,0.8460215053763441,0.8570609318996416,0.8574910394265233,0.8599283154121864,0.8539971474137648,0.005305707736936822,51,0.8607967406066094,0.8585675430643699,0.8655234657039711,0.8738759511182845,0.8729977116704806,0.866352282432743,0.0062116096050683365,155
64.8369092464447,1.7925249293016423,1.6191880702972412,0.26957654883679977,0.77,SAMME.R,0.9,52,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 52}",0.8522075688073395,0.850179211469534,0.8573476702508961,0.8596415770609319,0.8653763440860215,0.8569504743349446,0.0054173837444997895,21,0.865678449258837,0.8637502848029164,0.8672405980969642,0.8765603328710125,0.8783845800826067,0.8703228490224675,0.005969372375705403,85
68.31619048118591,0.8339911581123464,1.042356824874878,0.08124142317990089,0.77,SAMME.R,0.9,58,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 58}",0.8524942660550459,0.850752688172043,0.8600716845878136,0.8643727598566309,0.8676702508960573,0.8590723299135181,0.006565133287321817,13,0.8639147198911318,0.8655385319002973,0.8691419515508264,0.8811674774148714,0.8816213726393367,0.8722768106792926,0.007635719982247414,39
67.15871958732605,2.0088403454256962,1.4192583560943604,0.2018732005494178,0.77,SAMME.R,0.9,64,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 64}",0.8527809633027523,0.853763440860215,0.8623655913978494,0.8652329749103943,0.8682437275985663,0.8604773396139554,0.006177523597668351,7,0.8664688427299704,0.8695452457510335,0.8712893723090868,0.8815089099745429,0.883495145631068,0.8744615032791403,0.006773289612899243,27
69.13974180221558,1.784403203914625,1.2786834716796875,0.1472299829910276,0.77,SAMME.R,0.9,70,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.9, 'model__n_estimators': 70}",0.8547878440366973,0.8560573476702509,0.8637992831541219,0.865663082437276,0.8678136200716846,0.8616242354740061,0.005235992486724545,1,0.8678986995208761,0.8713826366559485,0.8724223883979153,0.8831862517417557,0.8832369942196532,0.8756253941072298,0.00637283406399546,17
43.03565874099731,9.453116688477895,2.121688461303711,0.9677207017837286,0.77,SAMME.R,1.04,40,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.04, 'model__n_estimators': 40}",0.8499139908256881,0.8432974910394265,0.8518996415770609,0.8580645161290322,0.8567741935483871,0.8519899666239189,0.005285185803182426,83,0.8646857142857143,0.8584454068839754,0.8611361587015329,0.8779976717112922,0.8761617100371747,0.867685332323938,0.007943033783450038,143
40.98215761184692,2.230529582241975,1.2984671115875244,0.2457279057595206,0.77,SAMME.R,1.04,46,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.04, 'model__n_estimators': 46}",0.8516341743119266,0.8484587813620071,0.8544802867383513,0.8560573476702509,0.8569175627240143,0.85350963056131,0.0031008209004798302,57,0.868584579976985,0.865716256610715,0.864314789687924,0.8760176785298907,0.8767155152361015,0.8702697640083231,0.005169569116160741,87
43.66069087982178,1.9137171977615433,1.500858449935913,0.21209002600290036,0.77,SAMME.R,1.04,52,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.04, 'model__n_estimators': 52}",0.8529243119266054,0.8488888888888889,0.8577777777777778,0.8607885304659498,0.8592114695340501,0.8559181957186544,0.004390862172188487,27,0.8686868686868687,0.8663138518177634,0.8686662122244945,0.8813638486688463,0.8787526181056551,0.8727566799007256,0.006080130787961364,35
48.061404418945315,3.294915970207958,1.2385567665100097,0.1013364491725496,0.77,SAMME.R,1.04,58,"{'corr_selector__threshold': 0.77, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.04, 'model__n_estimators': 58}",0.8543577981651376,0.8508960573476703,0.8594982078853046,0.8637992831541219,0.8643727598566309,0.858584821281773,0.0052632677286064125,15,0.8698347107438017,0.8675862068965517,0.8698614580967522,0.8835472578763127,0.8825854452452918,0.874683015771742,0.006901323872143033,23
