mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__base_estimator,param_model__base_estimator__max_depth,param_model__base_estimator__min_samples_leaf,param_model__base_estimator__min_samples_split,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
112.68613276481628,0.6318334664010854,0.5716969966888428,0.25171915251782495,0.785,SAMME.R,"DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42)",20,1,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 1, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.848480504587156,0.8487455197132616,0.8511827956989247,0.8529032258064516,0.8612186379928315,0.8525061367597251,0.004651119090500398,2,0.860086031242925,0.8580427446569179,0.8591960476083539,0.8669714285714286,0.8742844057705519,0.8637161315700354,0.006133212610305506,2
110.17933721542359,2.0386973050898636,1.0085296630859375,0.3302816067809565,0.785,SAMME.R,"DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42)",20,2,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 2, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.848480504587156,0.8480286738351255,0.8516129032258064,0.8533333333333334,0.8617921146953404,0.8526495059353524,0.00497719040354353,1,0.8609031086907193,0.8582055906221822,0.8588077095472882,0.8647299137539719,0.8745708400091554,0.8634434325246634,0.006014189750564058,3
107.61334810256957,4.082757581351225,1.7613228797912597,0.9814453845496901,0.785,SAMME.R,"DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42)",20,3,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 3, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.8454701834862385,0.8463082437275986,0.8486021505376344,0.8534767025089606,0.8564874551971327,0.8500689470915128,0.00424860099105748,3,0.8618873110398534,0.8584692028985508,0.8573354302403954,0.86810167162812,0.8663949275362319,0.8624377086686301,0.004238520457157733,4
106.98194789886475,3.3585417818939374,1.679390048980713,0.552031250787757,0.785,SAMME.R,"DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42)",20,5,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(max_depth=20, min_samples_leaf=5, random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 5, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.845756880733945,0.8461648745519713,0.8470250896057347,0.8517562724014337,0.8573476702508961,0.8496101575087962,0.004424368998765659,4,0.863950276243094,0.8615490061686086,0.8565002249212775,0.8670639468255787,0.8717889908256881,0.8641704889968495,0.005141347784138693,1
