,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,38.921407270431516,6.024496984327009,2.300691843032837,1.4212825631965176,0.75,1.0,70,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.0, 'model__n_estimators': 70}",0.8489105504587156,0.8444444444444444,0.8490322580645161,0.8546236559139785,0.8540501792114695,0.8502122176186248,0.003756183870770372,26,0.8631386861313869,0.8570781426953568,0.8614895549500454,0.871913224094161,0.8692360633172747,0.864571134237645,0.00535463925049706,27
1,47.28326969146728,5.242119552330911,2.3950968742370606,0.7812755372278151,0.75,1.0,82,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.0, 'model__n_estimators': 82}",0.851204128440367,0.8453046594982079,0.8551971326164874,0.8603584229390681,0.8580645161290322,0.8540257719246325,0.005325513747916967,18,0.8659652333028363,0.8590588770175039,0.8664546899841018,0.8760082968425904,0.8741645540447107,0.8683303302383487,0.006132876866570967,26
2,48.64231414794922,4.635496976186587,2.596967840194702,0.3170710527151854,0.75,1.0,95,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.0, 'model__n_estimators': 95}",0.8532110091743119,0.850752688172043,0.8577777777777778,0.8630824372759857,0.8625089605734767,0.857466574594719,0.004904009081939383,11,0.8685779816513761,0.8645381984036488,0.8679972782943978,0.8789838337182448,0.8788719371243643,0.8717938458384064,0.005986575469293367,21
3,45.67762880325317,4.46573055040145,2.7179542064666746,0.9888193020851639,0.75,1.2,70,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.2, 'model__n_estimators': 70}",0.8489105504587156,0.8414336917562724,0.8508960573476703,0.8539068100358423,0.8627956989247312,0.8515885617046465,0.0069533717027217175,25,0.8664825046040515,0.8578610603290676,0.8650376798355789,0.8722813512262841,0.8824626865671642,0.8688250565124293,0.008221580267848682,25
4,46.759557771682736,1.7598127895314013,2.7203927993774415,0.263467572552463,0.75,1.2,82,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.2, 'model__n_estimators': 82}",0.8520642201834863,0.8457347670250897,0.8533333333333334,0.860931899641577,0.8620788530465949,0.8548286146460162,0.006039732644801759,16,0.8695251267865376,0.8642857142857143,0.8662260711030082,0.878738696962671,0.8825040878299463,0.8722559393935754,0.007132907253566123,20
5,51.23746886253357,4.262570400114151,3.8392303466796873,1.5941582846451663,0.75,1.2,95,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.2, 'model__n_estimators': 95}",0.8542144495412844,0.8494623655913979,0.857921146953405,0.8625089605734767,0.8662365591397849,0.8580686963598698,0.005922429355263444,9,0.8718540752712999,0.8667740450989415,0.8703788224554998,0.8816953889147647,0.88347260909935,0.8748349881679711,0.006563469379489526,11
6,25.537055683135986,7.75925779076692,4.776611042022705,0.4290664252004029,0.75,1.4,70,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.4, 'model__n_estimators': 70}",0.8514908256880734,0.8440143369175627,0.8497491039426524,0.8554838709677419,0.8583512544802867,0.8518178783992634,0.004927607034110458,24,0.8719795539033457,0.8649212233549582,0.8649576562142367,0.8766036855609983,0.8792902171375204,0.8715504672342119,0.0058827696019696585,22
7,34.91514616012573,0.9468552859945821,3.8795313358306887,1.1664864544784344,0.75,1.4,82,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.4, 'model__n_estimators': 82}",0.8496272935779816,0.847168458781362,0.8534767025089606,0.8559139784946237,0.862652329749104,0.8537677526224063,0.005372537327601453,21,0.8700394523091205,0.8669597408607126,0.8689465228368143,0.8781001403837155,0.8835087719298246,0.8735109256640374,0.0062740855022544815,15
8,38.960392236709595,2.4079228128471146,3.218481969833374,1.117637271115918,0.75,1.4,95,"{'corr_selector__threshold': 0.75, 'model__learning_rate': 1.4, 'model__n_estimators': 95}",0.8536410550458715,0.850179211469534,0.8560573476702509,0.8594982078853046,0.8658064516129033,0.8570364547367729,0.0053382066034656575,13,0.872596710678712,0.8696457513313267,0.8713530898231105,0.8820079756040348,0.8853607284613588,0.8761928511797086,0.0062783067596001215,10
9,38.15781993865967,0.35426507795447554,1.2819841384887696,0.1721468819719978,0.8,1.0,70,"{'corr_selector__threshold': 0.8, 'model__learning_rate': 1.0, 'model__n_estimators': 70}",0.8545011467889908,0.8570609318996416,0.8639426523297491,0.8640860215053764,0.868673835125448,0.8616529175298412,0.00515151086675782,4,0.8690176322418136,0.8736453769887018,0.8744874715261959,0.8819976771196283,0.8867924528301887,0.8771881221413057,0.006355728899659284,8
