,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,47.671675252914426,1.6216088736215903,1.8604517459869385,0.5265945209200763,1.0,85,"{'model__learning_rate': 1.0, 'model__n_estimators': 85}",0.8572247706422018,0.8572043010752688,0.865663082437276,0.8681003584229391,0.8705376344086021,0.8637460293972575,0.005551255667709026,4,0.8717889908256881,0.875753361149745,0.8767123287671232,0.8865066418084363,0.8876744186046511,0.8796871482311287,0.00627705508525921,15
1,49.36816534996033,3.607420152503721,1.938415241241455,0.4025243594583697,1.0,88,"{'model__learning_rate': 1.0, 'model__n_estimators': 88}",0.8580848623853211,0.8577777777777778,0.8640860215053764,0.8676702508960573,0.8702508960573476,0.8635739617243761,0.005006979172734455,5,0.8728191000918274,0.87639146567718,0.8753709198813057,0.8869687062120505,0.8879832324173265,0.879906684855938,0.006297087480952149,12
2,49.36117820739746,1.1268113762511287,1.7797334671020508,0.41578324999197586,1.0,92,"{'model__learning_rate': 1.0, 'model__n_estimators': 92}",0.8583715596330275,0.8569175627240143,0.8637992831541219,0.8679569892473118,0.8703942652329749,0.8634879319982902,0.005236675845727968,6,0.8727064220183486,0.8755215577190543,0.8753139986298242,0.8870214752567693,0.8885521100489625,0.8798231127345917,0.006595370943732489,14
3,51.92760443687439,2.893382258824358,1.9193062782287598,0.5948013825717199,1.0,96,"{'model__learning_rate': 1.0, 'model__n_estimators': 96}",0.8588016055045872,0.8594982078853046,0.8646594982078853,0.8688172043010752,0.8705376344086021,0.8644628300614908,0.0047455123658002064,2,0.8733073215515262,0.8777829313543599,0.8765149782757832,0.8871794871794871,0.8885780885780886,0.880672561387849,0.00607815202712529,3
4,51.460112476348876,1.5063750092369301,1.821648406982422,0.4855054167747135,1.0,100,"{'model__learning_rate': 1.0, 'model__n_estimators': 100}",0.8596616972477065,0.8607885304659498,0.8658064516129033,0.8691039426523297,0.8693906810035842,0.8649502605964947,0.0040741225078014635,1,0.8739958687170071,0.8783877692842251,0.8763968072976055,0.8875932835820896,0.8872845831392641,0.8807316624040382,0.005651165113467434,2
5,48.16104350090027,2.0209965335107265,1.5582837104797362,0.3272236668614607,1.1,85,"{'model__learning_rate': 1.1, 'model__n_estimators': 85}",0.8580848623853211,0.8560573476702509,0.863225806451613,0.8675268817204301,0.865089605734767,0.8619969007924764,0.004295068284287356,16,0.8743660673121254,0.8743055555555556,0.8757152666514076,0.8882118584485587,0.8843283582089553,0.8793854212353205,0.005775943275433466,19
6,49.49859204292297,4.120689048597896,1.7221480369567872,0.4995496150753445,1.1,88,"{'model__learning_rate': 1.1, 'model__n_estimators': 88}",0.8589449541284404,0.8567741935483871,0.8639426523297491,0.8678136200716846,0.8658064516129033,0.862656374338233,0.00416051372503796,11,0.8760980120203421,0.8746241036317373,0.8760292772186642,0.8879007722911304,0.8851808634772462,0.8799666057278241,0.0054616917642979716,10
7,52.89946823120117,1.1033577365926779,1.9382938861846923,0.30083228543536805,1.1,92,"{'model__learning_rate': 1.1, 'model__n_estimators': 92}",0.8592316513761468,0.8572043010752688,0.864516129032258,0.8675268817204301,0.8676702508960573,0.8632298428200323,0.004292528102476898,8,0.8752881512217612,0.8752314814814814,0.8766590389016018,0.8869423032001869,0.8869687062120505,0.8802179362034164,0.005524912087641815,6
8,50.07910571098328,3.6650637544924143,1.6608271598815918,0.43214646298360726,1.1,96,"{'model__learning_rate': 1.1, 'model__n_estimators': 96}",0.859375,0.8574910394265233,0.8640860215053764,0.868673835125448,0.8672401433691757,0.8633732078853047,0.004339205330562854,7,0.8754899700253631,0.8749422098936662,0.8765743073047859,0.8871531825600373,0.8858075040783034,0.8799934347724312,0.00533951103415962,9
9,49.05883526802063,3.8668047348464096,1.802168369293213,0.664902984037922,1.1,100,"{'model__learning_rate': 1.1, 'model__n_estimators': 100}",0.8600917431192661,0.8603584229390681,0.8639426523297491,0.8689605734767025,0.8676702508960573,0.8642047285521686,0.003644373911914142,3,0.8775462962962963,0.8781278962001854,0.8763736263736264,0.8881102546134081,0.8869687062120505,0.8814253559391133,0.005037001460775204,1
10,46.437306547164916,4.718328889788067,1.6027297973632812,0.20613626503886737,1.2,85,"{'model__learning_rate': 1.2, 'model__n_estimators': 85}",0.857368119266055,0.8562007168458782,0.8637992831541219,0.8660931899641577,0.865663082437276,0.8618248783334979,0.004203390610886577,18,0.8749132947976879,0.8750289821469974,0.8742883170120701,0.8886796893386679,0.8846153846153846,0.8795051335821615,0.005977009773639332,16
11,52.23760409355164,6.035778989735695,2.101803684234619,0.42430644785627597,1.2,88,"{'model__learning_rate': 1.2, 'model__n_estimators': 88}",0.8575114678899083,0.853763440860215,0.8617921146953404,0.8679569892473118,0.8649462365591398,0.8611940498503831,0.005078371703667535,22,0.8763341067285383,0.872109158186864,0.8737154601507193,0.89030131826742,0.8841221730006995,0.8793164432668481,0.0068698299596434255,20
