mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__base_estimator,param_model__base_estimator__max_depth,param_model__base_estimator__min_samples_leaf,param_model__base_estimator__min_samples_split,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
125.99940376281738,3.5033306677746245,3.1419854164123535,0.6030347670830661,0.785,SAMME.R,DecisionTreeClassifier(random_state=42),20,1,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 1, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.851920871559633,0.8491756272401434,0.8511827956989247,0.8557706093189964,0.863225806451613,0.854255142053862,0.004969085677999151,3,0.8619832843912356,0.8612244897959184,0.8588736818487772,0.8685831622176592,0.872644721906924,0.8646618680321028,0.005130223831939167,1
128.40710735321045,4.207022696532937,2.163745307922363,1.5741228660548665,0.785,SAMME.R,DecisionTreeClassifier(random_state=42),20,2,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 2, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.8520642201834863,0.8504659498207885,0.8523297491039427,0.8573476702508961,0.8672401433691757,0.8558895465456577,0.006126709623068661,1,0.8613615870153292,0.8549211286380805,0.8557798979365432,0.8641060197663971,0.8737864077669902,0.861991008224668,0.00681999975987574,2
137.69419569969176,0.9356202196346398,1.0477713584899901,0.5112557033050996,0.785,SAMME.R,DecisionTreeClassifier(random_state=42),20,3,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 3, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.8530676605504587,0.8508960573476703,0.8518996415770609,0.8572043010752688,0.8648028673835125,0.8555741055867943,0.005089119166177534,2,0.8593155893536122,0.8566012488849242,0.8523977122745271,0.8645669291338582,0.8704453441295547,0.8606653647552953,0.006285908210379046,3
132.77887392044067,2.7379253773339083,2.503360414505005,1.0137757374904037,0.785,SAMME.R,DecisionTreeClassifier(random_state=42),20,5,2,1.16,85,"{'corr_selector__threshold': 0.785, 'model__algorithm': 'SAMME.R', 'model__base_estimator': DecisionTreeClassifier(random_state=42), 'model__base_estimator__max_depth': 20, 'model__base_estimator__min_samples_leaf': 5, 'model__base_estimator__min_samples_split': 2, 'model__learning_rate': 1.16, 'model__n_estimators': 85}",0.8522075688073395,0.8506093189964158,0.8513261648745519,0.8541935483870968,0.8617921146953404,0.854025743152149,0.004064729274641662,4,0.8609047940580689,0.8544809228039042,0.8538257408226448,0.8642533936651584,0.8688302907369845,0.8604590284173522,0.005734321206628301,4
