mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
2.580281639099121,0.6948243575061952,0.0,0.0,0.55,SAMME,0.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 20}",,,,,,,,361,,,,,,,,361
3.096531057357788,0.3278958896886854,0.0,0.0,0.55,SAMME,0.5,26,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 26}",,,,,,,,361,,,,,,,,361
1.9044768810272217,0.9674093893161458,0.0,0.0,0.55,SAMME,0.5,32,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 32}",,,,,,,,361,,,,,,,,361
2.2757250308990478,0.8847587432377815,0.0,0.0,0.55,SAMME,0.5,38,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 38}",,,,,,,,361,,,,,,,,361
2.420240354537964,1.0464273900201162,0.0,0.0,0.55,SAMME,0.5,44,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 44}",,,,,,,,361,,,,,,,,361
1.6238393306732177,0.91554503991529,0.0,0.0,0.55,SAMME,0.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 50}",,,,,,,,361,,,,,,,,361
0.8670785903930665,0.9191406316497466,0.0,0.0,0.55,SAMME,0.8,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 20}",,,,,,,,361,,,,,,,,361
0.44489221572875975,0.048025129205481056,0.0,0.0,0.55,SAMME,0.8,26,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 26}",,,,,,,,361,,,,,,,,361
0.5382720947265625,0.04819158646347907,0.0,0.0,0.55,SAMME,0.8,32,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 32}",,,,,,,,361,,,,,,,,361
0.5998919486999512,0.06030363321512976,0.0,0.0,0.55,SAMME,0.8,38,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 38}",,,,,,,,361,,,,,,,,361
1.3777371883392333,0.36091074869598466,0.0,0.0,0.55,SAMME,0.8,44,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 44}",,,,,,,,361,,,,,,,,361
1.5414455890655518,0.16044847758691785,0.0,0.0,0.55,SAMME,0.8,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.8, 'model__n_estimators': 50}",,,,,,,,361,,,,,,,,361
1.9009793281555176,0.3868539338462491,0.0,0.0,0.55,SAMME,1.1,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.1, 'model__n_estimators': 20}",,,,,,,,361,,,,,,,,361
1.4977943420410156,0.1803430991828109,0.0,0.0,0.55,SAMME,1.1,26,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.1, 'model__n_estimators': 26}",,,,,,,,361,,,,,,,,361
1.336332130432129,0.23095124157468333,0.0,0.0,0.55,SAMME,1.1,32,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.1, 'model__n_estimators': 32}",,,,,,,,361,,,,,,,,361
0.9816877841949463,0.07509163174412832,0.0,0.0,0.55,SAMME,1.1,38,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.1, 'model__n_estimators': 38}",,,,,,,,361,,,,,,,,361
0.9403591632843018,0.0978037200833801,0.0,0.0,0.55,SAMME,1.1,44,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.1, 'model__n_estimators': 44}",,,,,,,,361,,,,,,,,361
