,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
25,1.1599909305572509,0.2852296748409391,0.0,0.0,0.5,1000,l2,newton-cg,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",,,,,,,,258,,,,,,,,258
26,1.160579013824463,0.16602445817873143,0.0,0.0,0.5,1000,l2,newton-cholesky,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,256,,,,,,,,256
27,1.3002960681915283,0.05961506616639794,0.0,0.0,0.5,1000,l2,sag,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'sag'}",,,,,,,,255,,,,,,,,255
28,1.0438380718231202,0.13483596929362507,0.0,0.0,0.5,1000,,lbfgs,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,254,,,,,,,,254
29,0.9214465141296386,0.24681494646798874,0.0,0.0,0.5,1000,,newton-cg,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,253,,,,,,,,253
30,1.0373295783996581,0.17327397156559238,0.0,0.0,0.5,1000,,newton-cholesky,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,252,,,,,,,,252
31,1.4758710861206055,0.3563849884959182,0.0,0.0,0.5,1000,,sag,"{'corr_selector__threshold': 0.5, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,251,,,,,,,,251
32,6.159116506576538,0.7313018961358624,0.3388967037200928,0.10162200327774619,0.6,0.001,l2,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8341456422018348,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8352162252145605,0.004080711393229817,129,0.8173017507723996,0.8128992375849989,0.821273964131107,0.8238115095913261,0.8195504227675809,0.8189673769694824,0.0037073584615677437,131
33,7.377587080001831,0.698980420347483,0.402067756652832,0.1410427516377081,0.6,0.001,l2,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8341456422018348,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8352162252145605,0.004080711393229817,129,0.8173017507723996,0.8128992375849989,0.821273964131107,0.8238115095913261,0.8195504227675809,0.8189673769694824,0.0037073584615677437,131
34,6.220285654067993,0.4543183937427654,0.0,0.0,0.6,0.001,l2,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,233,,,,,,,,233
35,7.661310482025146,0.39253047336134717,0.37842378616333006,0.15698210836830495,0.6,0.001,l2,sag,"{'corr_selector__threshold': 0.6, 'model__C': 0.001, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8338589449541285,0.8278136200716846,0.839426523297491,0.8378494623655914,0.8368458781362007,0.8351588857650192,0.004097332059524376,135,0.8172264578611168,0.8127703398558187,0.8211415619204616,0.8238115095913261,0.8195504227675809,0.8189000583992609,0.0037401618372008855,137
