x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
blk_home,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.46920287864483,DecisionTreeRegressor()
blk_home,ast_home,0.0,regression,True,mean absolute error,4.4306,4.433402359784702,DecisionTreeRegressor()
blk_home,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4440426982521055,DecisionTreeRegressor()
blk_home,pts_home,0.0,regression,True,mean absolute error,10.7954,10.813817577674076,DecisionTreeRegressor()
stl_home,ftm_home,0.0,regression,True,mean absolute error,5.3258,5.373416544323538,DecisionTreeRegressor()
blk_home,fgm_away,0.0,regression,True,mean absolute error,4.4624,4.47011514920986,DecisionTreeRegressor()
blk_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.4070663117175353,DecisionTreeRegressor()
blk_home,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.198310144456837,DecisionTreeRegressor()
blk_home,ftm_away,0.0,regression,True,mean absolute error,5.0038,5.041563917346204,DecisionTreeRegressor()
blk_home,fta_away,0.0,regression,True,mean absolute error,6.131,6.165536168436772,DecisionTreeRegressor()
blk_home,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.489491834934855,DecisionTreeRegressor()
blk_home,ast_away,0.0,regression,True,mean absolute error,4.176,4.178065196041207,DecisionTreeRegressor()
blk_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.3695537322040763,DecisionTreeRegressor()
blk_home,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.636046703903963,DecisionTreeRegressor()
stl_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.46115747897258247,DecisionTreeRegressor()
stl_home,pts_away,0.0,regression,True,mean absolute error,10.5006,10.508867028150714,DecisionTreeRegressor()
stl_home,pf_away,0.0,regression,True,mean absolute error,3.8206,3.857567995886854,DecisionTreeRegressor()
stl_home,fta_home,0.0,regression,True,mean absolute error,6.5984,6.629472390155499,DecisionTreeRegressor()
stl_home,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.4752035889766124,DecisionTreeRegressor()
stl_home,reb_home,0.0,regression,True,mean absolute error,5.3582,5.359014400661776,DecisionTreeRegressor()
stl_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1877229999870496,DecisionTreeRegressor()
stl_home,pf_home,0.0,regression,True,mean absolute error,3.6374,3.6616394781009602,DecisionTreeRegressor()
stl_home,fgm_away,0.0,regression,True,mean absolute error,4.4624,4.483161016684477,DecisionTreeRegressor()
stl_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.4157672390936997,DecisionTreeRegressor()
stl_home,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.197317696989293,DecisionTreeRegressor()
stl_home,ftm_away,0.0,regression,True,mean absolute error,5.0038,5.03135454156777,DecisionTreeRegressor()
stl_home,fta_away,0.0,regression,True,mean absolute error,6.131,6.1640262881497465,DecisionTreeRegressor()
stl_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4179889805286017,DecisionTreeRegressor()
stl_home,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.507745740769401,DecisionTreeRegressor()
stl_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.327350541010495,DecisionTreeRegressor()
stl_home,ast_away,0.0,regression,True,mean absolute error,4.176,4.1970756453015765,DecisionTreeRegressor()
stl_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.364625758048774,DecisionTreeRegressor()
stl_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.0081148922679297,DecisionTreeRegressor()
fga_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.2053701208523897,DecisionTreeRegressor()
reb_home,fg3m_home,0.0,regression,True,mean absolute error,3.4412,3.508095723993538,DecisionTreeRegressor()
dreb_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.42938504823094464,DecisionTreeRegressor()
oreb_away,fga_home,0.0,regression,True,mean absolute error,6.5432,6.590776302341695,DecisionTreeRegressor()
fta_home,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4558795944518694,DecisionTreeRegressor()
ftm_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.0091949946076366,DecisionTreeRegressor()
ftm_home,tov_away,0.0,regression,True,mean absolute error,3.2988,3.3216871658298426,DecisionTreeRegressor()
ftm_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.45703680122071166,DecisionTreeRegressor()
fta_home,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.649798603826799,DecisionTreeRegressor()
fga_home,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.253341161971225,DecisionTreeRegressor()
fta_home,dreb_home,0.0,regression,True,mean absolute error,4.366,4.40808508145393,DecisionTreeRegressor()
fta_home,reb_home,0.0,regression,True,mean absolute error,5.3582,5.377397052693212,DecisionTreeRegressor()
fta_home,ast_home,0.0,regression,True,mean absolute error,4.4306,4.4532336943092785,DecisionTreeRegressor()
fta_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1976513651335554,DecisionTreeRegressor()
ftm_home,ast_away,0.0,regression,True,mean absolute error,4.176,4.206681869909236,DecisionTreeRegressor()
fta_home,tov_home,0.0,regression,True,mean absolute error,3.2248,3.233210502708145,DecisionTreeRegressor()
fta_home,plus_minus_home,0.0,regression,True,mean absolute error,10.4048,10.425552638323367,DecisionTreeRegressor()
fta_home,fgm_away,0.0,regression,True,mean absolute error,4.4624,4.479104135630148,DecisionTreeRegressor()
fta_home,fga_away,0.0,regression,True,mean absolute error,6.688,6.691359944566243,DecisionTreeRegressor()
fta_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.4049783658531014,DecisionTreeRegressor()
fta_home,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.162379905711738,DecisionTreeRegressor()
fta_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4213323401920532,DecisionTreeRegressor()
fta_home,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.490615709312979,DecisionTreeRegressor()
ftm_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.3783250684457724,DecisionTreeRegressor()
ftm_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.33181092482703,DecisionTreeRegressor()
dreb_home,pf_away,0.0,regression,True,mean absolute error,3.8206,3.843929652110175,DecisionTreeRegressor()
fga_home,fta_away,0.0,regression,True,mean absolute error,6.131,6.134616137456279,DecisionTreeRegressor()
fg3a_home,plus_minus_home,0.0,regression,True,mean absolute error,10.4048,10.48016650872625,DecisionTreeRegressor()
fg3a_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.176865592452079,DecisionTreeRegressor()
fg3a_home,ftm_away,0.0,regression,True,mean absolute error,5.0038,5.021769060012963,DecisionTreeRegressor()
fg3a_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.3724785057399407,DecisionTreeRegressor()
fg3a_home,blk_away,0.0,regression,True,mean absolute error,1.9744,2.01032531148201,DecisionTreeRegressor()
fga_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4509018258699333,DecisionTreeRegressor()
fg3a_home,home_wins,0.0,regression,True,mean absolute error,0.3872,0.47048536432273874,DecisionTreeRegressor()
ftm_home,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.634534352793792,DecisionTreeRegressor()
ftm_home,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.4634400428093786,DecisionTreeRegressor()
ftm_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4185473109397124,DecisionTreeRegressor()
ftm_home,dreb_home,0.0,regression,True,mean absolute error,4.366,4.399560838589814,DecisionTreeRegressor()
ftm_home,reb_home,0.0,regression,True,mean absolute error,5.3582,5.3788561185985895,DecisionTreeRegressor()
ftm_home,ast_home,0.0,regression,True,mean absolute error,4.4306,4.452565633445625,DecisionTreeRegressor()
ftm_home,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4531988478537388,DecisionTreeRegressor()
ftm_home,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1918800366618836,DecisionTreeRegressor()
ftm_home,tov_home,0.0,regression,True,mean absolute error,3.2248,3.235356612090355,DecisionTreeRegressor()
ftm_home,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.4224847775362766,DecisionTreeRegressor()
ftm_home,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.209277816519398,DecisionTreeRegressor()
fta_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.376600848775524,DecisionTreeRegressor()
fta_home,ast_away,0.0,regression,True,mean absolute error,4.176,4.210605854433382,DecisionTreeRegressor()
fta_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.36961488101285,DecisionTreeRegressor()
dreb_home,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.475545685738676,DecisionTreeRegressor()
oreb_home,ast_away,0.0,regression,True,mean absolute error,4.176,4.2032829127588345,DecisionTreeRegressor()
oreb_home,stl_away,0.0,regression,True,mean absolute error,2.3614,2.3764690041436562,DecisionTreeRegressor()
oreb_home,tov_away,0.0,regression,True,mean absolute error,3.2988,3.3045535913496416,DecisionTreeRegressor()
