fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
37,73,6,19,23,28,12,36,48,18,10,7,21,19,103,16,34,82,6,14,13,14,10,21,31,17,11,1,15,16,87,0,18
40,89,2,11,13,20,13,29,42,29,7,1,16,23,95,-11,41,89,3,13,21,28,18,31,49,25,7,3,16,19,106,0,6
33,81,7,23,16,20,16,19,35,22,11,9,15,23,89,-5,35,71,3,7,21,27,13,30,43,20,8,4,20,20,94,0,9
45,102,13,44,15,21,14,37,51,27,10,12,16,20,118,9,39,86,8,27,23,30,6,39,45,31,10,2,20,24,109,0,34
45,97,11,28,12,13,13,42,55,26,9,8,17,21,113,2,43,93,8,29,17,27,10,36,46,25,6,4,13,14,111,0,31
42,94,12,32,15,20,10,29,39,28,8,3,5,16,111,9,39,76,12,27,12,17,5,38,43,22,3,5,14,17,102,0,31
43,83,2,11,11,18,12,33,45,27,14,7,22,25,99,21,29,75,3,13,17,21,8,25,33,18,9,2,23,21,78,0,15
35,88,6,16,30,41,18,31,49,16,7,8,12,25,106,-6,41,91,6,18,24,31,13,39,52,28,6,7,13,29,112,0,29
31,88,5,37,19,29,10,36,46,17,7,3,11,24,86,-19,34,79,5,24,32,36,4,48,52,17,9,2,14,23,105,0,34
33,75,16,40,15,21,8,37,45,25,4,1,23,18,97,-5,37,89,14,50,14,15,10,33,43,28,15,6,11,17,102,0,35
40,77,7,18,15,18,8,27,35,29,7,1,15,23,102,8,37,80,3,21,17,24,13,29,42,16,9,3,17,24,94,0,24
33,82,2,12,25,32,12,34,46,14,4,6,10,18,93,-13,39,80,10,25,18,23,7,35,42,30,5,4,10,26,106,0,24
42,84,11,28,15,16,10,39,49,28,7,10,15,19,110,23,34,79,8,26,11,17,3,26,29,25,8,3,11,18,87,0,31
37,82,3,13,12,19,9,27,36,26,5,15,15,25,89,-17,38,85,6,13,24,32,16,34,50,22,12,2,14,17,106,0,14
43,80,5,11,22,28,8,26,34,25,13,1,11,15,113,-2,45,86,15,28,10,14,13,25,38,27,5,5,17,21,115,0,31
29,82,6,17,23,29,17,28,45,19,8,9,17,28,87,-15,38,84,2,7,24,33,18,30,48,26,12,8,16,26,102,0,9
48,82,6,14,18,20,13,37,50,29,6,4,13,21,120,37,33,86,2,9,15,28,18,22,40,14,8,4,14,18,83,0,8
