,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__algorithm,param_model__learning_rate,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
20,2.7770705699920653,0.18092654530886523,0.0,0.0,0.55,SAMME.R,1.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 20}",,,,,,,,115,,,,,,,,115
21,2.770171546936035,0.11536855819449836,0.0,0.0,0.55,SAMME.R,1.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 30}",,,,,,,,116,,,,,,,,116
22,2.4158491134643554,0.5917546242220939,0.0,0.0,0.55,SAMME.R,1.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 40}",,,,,,,,117,,,,,,,,117
23,1.5223029613494874,0.29428917182570036,0.0,0.0,0.55,SAMME.R,1.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.0, 'model__n_estimators': 50}",,,,,,,,118,,,,,,,,118
24,1.8384509086608887,0.3880029215841056,0.0,0.0,0.55,SAMME.R,1.5,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 20}",,,,,,,,119,,,,,,,,119
25,2.6173619270324706,0.5376806654303377,0.0,0.0,0.55,SAMME.R,1.5,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 30}",,,,,,,,120,,,,,,,,120
26,2.5782917022705076,0.9936544506083417,0.0,0.0,0.55,SAMME.R,1.5,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 40}",,,,,,,,121,,,,,,,,121
27,2.775678205490112,0.9833844520583883,0.0,0.0,0.55,SAMME.R,1.5,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 1.5, 'model__n_estimators': 50}",,,,,,,,122,,,,,,,,122
28,1.9950704097747802,0.941101750339409,0.0,0.0,0.55,SAMME.R,2.0,20,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 20}",,,,,,,,123,,,,,,,,123
29,3.140405702590942,0.3377237062476781,0.0,0.0,0.55,SAMME.R,2.0,30,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 30}",,,,,,,,124,,,,,,,,124
30,2.7008511543273928,0.20986581674945015,0.0,0.0,0.55,SAMME.R,2.0,40,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 40}",,,,,,,,125,,,,,,,,125
31,1.8200106620788574,0.60005475456541,0.0,0.0,0.55,SAMME.R,2.0,50,"{'corr_selector__threshold': 0.55, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 2.0, 'model__n_estimators': 50}",,,,,,,,126,,,,,,,,126
32,26.680104064941407,1.3814549121186883,1.000148057937622,0.062139979063747214,0.683,SAMME,0.5,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 20}",0.705848623853211,0.7195698924731183,0.7088172043010753,0.7106810035842294,0.7182795698924731,0.7126392588208215,0.005374055812777382,72,0.692091388400703,0.7143930853062759,0.6912274618585298,0.7162346521145976,0.711073950204385,0.7050041075768982,0.011024112723581656,88
33,28.916873455047607,1.322571410545003,0.9811694145202636,0.09687229924703401,0.683,SAMME,0.5,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 30}",0.7413990825688074,0.7387813620071685,0.7448028673835125,0.7323297491039427,0.7377777777777778,0.7390181677682417,0.0041342736593585954,71,0.7285016898235073,0.7318618042226488,0.7441860465116279,0.7195257502778807,0.7240416821734276,0.7296233946018185,0.008384002199577413,78
34,30.298871946334838,0.7892943014630317,0.9829051494598389,0.11778679318578694,0.683,SAMME,0.5,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 40}",0.7544438073394495,0.7459498207885304,0.763584229390681,0.75168458781362,0.7587096774193548,0.7548744245503272,0.0060096407017502015,67,0.7438671045006761,0.7299515106303618,0.7464761904761905,0.7345066466953754,0.741672975018925,0.7392948854643057,0.006137711663412075,77
35,33.02183537483215,1.265494485453069,1.3375967025756836,0.16140884200711456,0.683,SAMME,0.5,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 0.5, 'model__n_estimators': 50}",0.7709288990825688,0.7598566308243727,0.7780645161290323,0.7693189964157706,0.7740501792114696,0.7704438443326428,0.006077333966514304,65,0.7597402597402597,0.7484971882877642,0.7601083381698588,0.7644927536231884,0.7599140457120531,0.7585505171066249,0.005330686623992806,66
36,28.040181016922,0.7714271074232898,0.8188583374023437,0.14904968727108447,0.683,SAMME,1.0,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 20}",0.7607511467889908,0.7468100358422939,0.749247311827957,0.7267383512544803,0.7644444444444445,0.7495982580316334,0.013230788810294396,69,0.7512223743399179,0.752760736196319,0.7385884158036057,0.722721192432639,0.7699833472106578,0.7470552131966279,0.015744515100162306,76
37,29.23832063674927,1.5327183979099597,0.9594779491424561,0.27461818912796676,0.683,SAMME,1.0,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 30}",0.7869839449541285,0.7552688172043011,0.7830824372759857,0.7549820788530466,0.7842293906810036,0.7729093337936932,0.014576039907727911,63,0.7911553110452815,0.7443521915427689,0.7909013242204186,0.7744246634824142,0.7911338448422848,0.7783934670266335,0.01819993527110979,62
38,32.820427322387694,1.7147346757452226,0.7605334281921386,0.13545930930703196,0.683,SAMME,1.0,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 40}",0.7973050458715596,0.7829390681003584,0.7941218637992832,0.7769175627240144,0.8002867383512545,0.7903140557692941,0.008907123121557739,59,0.7855987055016181,0.7778457772337821,0.7931756332426209,0.7689067201604814,0.8025531914893617,0.7856160055255728,0.011692674664094242,60
39,33.480742406845096,1.3493633144733648,0.698341703414917,0.26127691251285484,0.683,SAMME,1.0,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.0, 'model__n_estimators': 50}",0.8106364678899083,0.79584229390681,0.8010035842293907,0.7870967741935484,0.8070250896057347,0.8003208419650785,0.008327767681485646,53,0.8092007631969472,0.8024505588993981,0.7912492332856267,0.7896842105263158,0.8036126864104179,0.7992394904637412,0.007534060554664945,57
40,28.49943652153015,0.8131245145397002,0.6588896751403809,0.24396482188468818,0.683,SAMME,1.5,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 20}",0.7591743119266054,0.745663082437276,0.7475268817204301,0.7509677419354839,0.7549820788530466,0.7516628193745684,0.004919877236003546,68,0.7730572160546542,0.7803823395539372,0.7780772686433064,0.7599833610648918,0.7649895178197065,0.7712979406272992,0.007738172280708402,64
41,29.819895458221435,0.6154531796407754,0.5605623245239257,0.2809757468025376,0.683,SAMME,1.5,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 30}",0.7821100917431193,0.7763440860215054,0.7797849462365591,0.7698924731182796,0.7893906810035842,0.7795044556246096,0.006434028450971841,61,0.8022686832740213,0.8058474189127456,0.8113903620013835,0.7730290456431536,0.8008695652173913,0.798681015009739,0.013330937655133206,58
42,30.919266986846925,0.9713330527153519,0.5777463436126709,0.09937585962123809,0.683,SAMME,1.5,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 40}",0.7965883027522935,0.7939784946236559,0.8047311827956989,0.7949820788530466,0.7995698924731183,0.7979699902995627,0.003874070829399985,55,0.7991933772022926,0.8045227223309415,0.8135223555070883,0.8246588017580384,0.8085198869810911,0.8100834287558903,0.00867441130011575,49
43,32.660042905807494,0.6635632425799521,0.680109167098999,0.07268694821400201,0.683,SAMME,1.5,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 1.5, 'model__n_estimators': 50}",0.8027522935779816,0.8004301075268817,0.8073118279569892,0.8044444444444444,0.8104659498207886,0.8050809246654171,0.003505229102055546,47,0.807213396307428,0.8312383612662942,0.8383625730994152,0.8087255534064045,0.8278965129358831,0.8226872794030851,0.012492740278747373,43
44,28.940159177780153,0.8211302110962239,0.5395386219024658,0.1350318917649834,0.683,SAMME,2.0,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 20}",0.6162557339449541,0.6118996415770609,0.5909677419354838,0.597562724014337,0.6030107526881721,0.6039393188320015,0.00921787202313507,81,0.6859661663092685,0.697039897039897,0.7004634994206257,0.7059331797235023,0.7132481115630448,0.7005301708112677,0.009113014928980416,89
45,30.540999317169188,1.2053469508789807,0.6399760246276855,0.172416961454835,0.683,SAMME,2.0,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 30}",0.6162557339449541,0.6118996415770609,0.5909677419354838,0.597562724014337,0.6030107526881721,0.6039393188320015,0.00921787202313507,81,0.6859661663092685,0.697039897039897,0.7004634994206257,0.7059331797235023,0.7132481115630448,0.7005301708112677,0.009113014928980416,89
46,32.61836924552917,1.198583635646464,0.662791395187378,0.1487472965798623,0.683,SAMME,2.0,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 40}",0.6162557339449541,0.6118996415770609,0.5909677419354838,0.597562724014337,0.6030107526881721,0.6039393188320015,0.00921787202313507,81,0.6859661663092685,0.697039897039897,0.7004634994206257,0.7059331797235023,0.7132481115630448,0.7005301708112677,0.009113014928980416,89
47,34.999896144866945,1.9081940717478023,0.8574381351470948,0.17549322375139856,0.683,SAMME,2.0,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME', 'model__learning_rate': 2.0, 'model__n_estimators': 50}",0.6162557339449541,0.6118996415770609,0.5909677419354838,0.597562724014337,0.6030107526881721,0.6039393188320015,0.00921787202313507,81,0.6859661663092685,0.697039897039897,0.7004634994206257,0.7059331797235023,0.7132481115630448,0.7005301708112677,0.009113014928980416,89
48,29.220735263824462,0.8000899652289268,0.6596990108489991,0.13696969906181053,0.683,SAMME.R,0.5,20,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 20}",0.75,0.7354838709677419,0.7462365591397849,0.7376344086021506,0.7453763440860215,0.7429462365591398,0.005484334789577629,70,0.7313543599257885,0.7178226834152558,0.7271220769655681,0.7189376023285429,0.723767957810511,0.7238009360891333,0.005049292945428288,79
49,32.59998965263367,1.117990871996307,0.8404968738555908,0.1493150103943166,0.683,SAMME.R,0.5,30,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 30}",0.7650516055045872,0.7569892473118279,0.7697491039426523,0.7592831541218638,0.7638709677419355,0.7629888157245732,0.004482444415779659,66,0.7512081964044075,0.742421353670162,0.7512893982808023,0.7481567714396585,0.7477046671767407,0.7481560773943542,0.0032318402834316533,75
50,32.83969264030456,1.3836577501020695,1.0203065395355224,0.4506893637538691,0.683,SAMME.R,0.5,40,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 40}",0.7846903669724771,0.7799283154121864,0.7901075268817205,0.7797849462365591,0.789820788530466,0.7848663888066818,0.004522216626249735,60,0.7708910891089109,0.7664104080425783,0.7725574995085512,0.7664233576642335,0.7725752508361204,0.7697715210320789,0.002806538367101739,65
51,35.74067587852478,2.4097742947788596,0.9984331607818604,0.2736099073114827,0.683,SAMME.R,0.5,50,"{'corr_selector__threshold': 0.683, 'model__algorithm': 'SAMME.R', 'model__learning_rate': 0.5, 'model__n_estimators': 50}",0.7963016055045872,0.7878136200716845,0.8025806451612904,0.7919713261648745,0.8034408602150538,0.7964216114234981,0.006018646120143833,56,0.7831155778894472,0.7760208166533227,0.7884227511093183,0.7800562927221552,0.7861421725239617,0.782751522179641,0.004389955412088011,61
